ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3486,CORE CARBON VANAM(SERICULTURE) IN ODISHA STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,62811,Asia,,2018-06-15,2038-06-14
3487,Fuyuan-2 Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,59383,Asia,,2018-05-03,2025-05-02
3489,Fuyuan-3 Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,59077,Asia,,2018-05-06,2025-05-05
3491,CORE CARBON VANAM IN WEST BENGAL AND TAMIL NADU,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,1679050,Asia,,2018-11-20,2038-11-19
3501,EVI SUSTAINABLE AGRICULTURE PROGRAM,Emergent Ventures India Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,India,60000,Asia,,2018-06-25,2025-06-24
3506,REDD Project - Territorio Indígena Originario Campesino,Green Carbon Partners Pty Limited,Agriculture Forestry and Other Land Use,REDD,VM0015,On Hold,Bolivia,16028913,Latin America,,2018-01-01,2047-12-31
3507,Carbon Sequestration through Agroforestry by farmers in Telangana State,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,73711,Asia,,2018-01-01,2037-12-31
3508,CLS Nizip Landfill Gas to Electricity Project,CLS Enerji Üretim Sanayi ve Ticaret Limited Şirketi.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,Turkey,22296,Asia,,2021-06-03,2028-06-02
3509,Mevlüt Coşkun Landfill Gas to Electricity Project,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,Turkey,94706,Asia,,2020-10-26,2027-10-25
3511,Global Cookstove Program (Phase 42),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3512,Global Cookstove Program (Phase 43),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3513,Global Cookstove Program (Phase 44),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3514,Global Cookstove Program (Phase 45),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,50746,Asia,,2022-09-01,2029-08-31
3515,Global Cookstove Program (Phase 46),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3516,Global Cookstove Program (Phase 47),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3517,Global Cookstove Program (Phase 48),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3519,Global Cookstove Program (Phase 49),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,50746,Asia,,2022-09-01,2029-08-31
3521,Global Cookstove Program (Phase 50),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,50746,Asia,,2022-09-01,2029-08-31
3522,Global Cookstove Program (Phase 51),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3524,Global Cookstove Program (Phase 52),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3525,Global Cookstove Program (Phase 53),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3526,Global Cookstove Program (Phase 54),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3527,Global Cookstove Program (Phase 55),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3528,Global Cookstove Program (Phase 56),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3529,Global Cookstove Program (Phase 57),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3530,Global Cookstove Program (Phase 58),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,50746,Asia,,2022-09-01,2029-08-31
3531,Global Cookstove Program (Phase 59),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3532,Global Cookstove Program (Phase 60),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,50746,Asia,,2022-09-01,2029-08-31
3534,7.81MW solar power project by AMPSolar Generation Private Limited,AMPSolar Generation Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval requested,India,11212,Asia,,2020-12-26,2027-12-25
3535,Core Carbon Sahaja Vyavasayam in Andhra Pradesh,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM; ARR,VM0017,Under development,India,4830706,Asia,,2018-07-01,2058-06-30
3505,El Espinillar,Kattegat S.R.L.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Uruguay,4400,Latin America,,2019-05-30,2039-05-29
3458,Jining-1 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,57942,Asia,,2018-06-08,2025-06-07
3459,Jining-2 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58186,Asia,,2018-06-10,2025-06-09
3460,LED distribution project by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,AMS-II.C.,Under development,India,9431,Asia,,2022-08-01,2029-07-31
3461,Methane avoidance in rice cultivation in South of Linxiang District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58358,Asia,,2020-03-26,2030-03-25
3462,Methane avoidance in rice cultivation in Central of Linxiang District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,59871,Asia,,2020-03-28,2030-03-27
3463,Methane avoidance in rice cultivation in North of Linxiang District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,59865,Asia,,2020-04-03,2030-04-02
3464,Ang’angxi Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,57803,Asia,,2018-04-30,2025-04-29
3465,Boli Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58338,Asia,,2018-05-05,2025-05-04
3466,Fazhan Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56677,Asia,,2018-05-02,2025-05-01
3467,HuanQing Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56490,Asia,,2018-05-05,2025-05-04
3468,Meilisi Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,57693,Asia,,2018-05-01,2025-04-30
3469,PingQin Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56564,Asia,,2018-05-04,2025-05-03
3470,XinLiu Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56664,Asia,,2018-05-07,2025-05-06
3471,ZhiTong Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56525,Asia,,2018-05-03,2025-05-02
3472,Improved Cropland Management Project in Guyuan,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,160000,Asia,,2019-01-01,2118-12-31
3455,Enhancing livelihood of rural communities in India through improved cook stoves by Shri Maa,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registration requested,India,82981,Asia,,2022-08-01,2029-07-31
3456,Fujian Datian Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,China,135193,Asia,,2020-01-31,2050-01-30
3457,Fujian Guangze IFM (conversion of logged to protected forest) Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,117254,Asia,,2020-02-01,2050-01-31
3452,Sichuan Huili Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,China,126366,Asia,,2019-12-01,2039-11-30
3453,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Zambia,9326725,Africa,,2018-01-01,2117-12-31
3431,SUSTAINABLE AGRICULTURAL PRACTICES IN INDIA,VN Foods & Beverages,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration and verification approval requested,India,227272,Asia,,2017-11-01,2057-10-31
3432,South American Regenerative Agriculture through Regenerative Grazing (SARA) - AgriCarbon,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Paraguay,1000000,Latin America,,2018-07-01,2118-06-30
3433,Guiyang Afforestation Project,"Guiyang Forestry Industry Development Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold,China,81672,Asia,,2018-04-12,2048-04-11
3434,Lomphat Wildlife Sanctuary REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Cambodia,239752,Asia,,2018-01-01,2047-12-31
3435,Anhui Nanqiao Afforestation Project,"Chuzhou huangqingwei Modern Agricultural Development Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,China,36478,,,2018-02-01,2038-01-31
3436,Fangzheng-1 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58585,Asia,,2018-04-25,2025-04-24
3437,Fangzheng-2 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58691,Asia,,2018-05-04,2025-05-03
3438,Tonghe-1 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58501,Asia,,2018-04-26,2025-04-25
3439,Tonghe-2 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58614,Asia,,2018-04-28,2025-04-27
3440,Tonghe-3 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58661,Asia,,2018-04-29,2025-04-28
3441,Yilan-1 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58921,Asia,,2018-05-03,2025-05-02
3442,Yilan-2 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,59070,Asia,,2018-04-30,2025-04-29
3444,Zhaoyuan-1 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,57054,Asia,,2018-05-01,2025-04-30
3445,Zhaoyuan-2 Water Management with Rice Cultivation,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56914,Asia,,2018-05-02,2025-05-01
3447,ARR SLB Paraná,SLB International S.A.S.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Brazil,36288,Latin America,,2018-12-18,2038-12-17
3448,LANDFILL GAS COLLECTION AND UTILIZATION AT THE MARCA CARIACICA – II LANDFILL,MARCA CONSTRUTORA E SERVIÇOS LTDA,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,410159,Latin America,2023-05-30,2020-10-15,2027-10-14
3450,"Sustainable Agroforestry Cacao Meta, Colombia",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Colombia,8405,Latin America,,2016-12-01,2046-11-30
3451,Harpia Grouped REDD+ Project,Future Carbon Consultoria e Projetos Florestais LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,51753,Latin America,,2019-12-09,2029-12-08
3420,Lancheng Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56438,Asia,,2018-04-12,2025-04-11
3421,Methane avoidance in rice cultivation in East of Junshan District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,54299,Asia,,2020-03-28,2030-03-27
3422,Tehung Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56033,Asia,,2018-04-13,2025-04-12
3423,Methane avoidance in rice cultivation in West of Junshan District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58209,Asia,,2020-03-29,2030-03-28
3424,Yuedan Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56619,Asia,,2018-04-13,2025-04-12
3425,Kwamisa/Other reserves community Forest Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ghana,26281,Africa,,2019-05-01,2059-04-30
3426,Zhuti Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56267,Asia,,2018-04-16,2025-04-15
3427,Portland: Regenerative Agriculture & native revegetation on degraded land,Holmstone Pty. (Ltd.),Agriculture Forestry and Other Land Use,ALM; ARR,VM0042,Under development,South Africa,1547,Africa,,2022-10-01,2042-09-30
3429,Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray,WeForest ASBL,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ethiopia,94936,Asia,,2018-01-01,2067-12-31
3430,Juruá REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,86557,Latin America,,2020-08-01,2030-07-31
3407,Heyuan Dengta Landfill Gas Power Generation Project,"Shenzhen PhasCon Technologies Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,China,134256,Asia,,2022-06-30,2029-06-29
3408,Mianning1 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,55497,Asia,,2018-04-06,2025-04-05
3409,Mianning2 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56077,Asia,,2018-04-06,2025-04-05
3410,Weichu1 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56188,Asia,,2018-04-15,2025-04-14
3411,Weichu2 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,56917,Asia,,2018-04-16,2025-04-15
3412,Replacement of ICLs by LED lamps in India – Project 2,AGS Carbon Advisory,Energy demand,,AMS-II.C.,Under development,India,53799,Asia,,2022-10-01,2032-09-30
3413,Installation of high efficiency cookstoves in India by AGS Carbon – Project 2,AGS Carbon Advisory,Energy demand,,VMR0006,Registration requested,India,333938,Asia,,2023-06-10,2030-06-09
3414,DATIAN AREA ENPING CITY METHANE EMISSION REDUCTION IN RICE CULTIVATION PROJECT,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,53987,Asia,,2019-07-20,2026-07-19
3415,WENCUN AREA TAISHAN CITY METHANE EMISSION REDUCTION IN RICE CULTIVATION PROJECT,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,60000,Asia,,2019-07-20,2026-07-19
